,ladle,time_date
0,19956216,2023-09-17 14:55:30
1,19956604,2023-09-17 14:55:30
2,13959689,2023-09-17 14:55:31
3,19959934,2023-09-17 14:55:31
4,19961247,2023-09-17 14:55:32
5,19961424,2023-09-17 14:55:32
6,19963359,2023-09-17 14:55:33
7,19963395,2023-09-17 14:55:33
8,19967563,2023-09-17 14:55:34
9,14969076,2023-09-17 14:55:35
